D,Year,Date,Acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#
Possession Point,2018,"Sept 10, 2018",36.0072352639729,,,,,14.0,,,2.1,,,5.5,,,11:00 AM,,
Possession Point,2018,"July 17, 2018",15.3447260407453,,,,,16.0,,,0.7,,,4.3,,,1:12 PM,2:15 PM,
Possession Point,2018,"Aug 14, 2018",38.0033526381764,,,,,16.0,,,1.8,,,4.6,,,12:30 PM,1:15 PM,
Possession Point,2018,"July 3, 2018",1.10878455365609,,,,,,,,2.0,,,4.5,,,9:20 AM,11:30 AM,
Ben Ure,2018,"June 18, 2018",0.565008745509146,,,,,12.0,,,0.427,,,7.5,,,12:45 PM,13:41 PM,
Ben Ure,2018,"Aug 24, 2018",0.998654832563139,,,,,12.0,,,0.366,,,6.3745,,,9:58 AM,11:00 AM,
Ben Ure Island,2017,"Aug 7, 2017",1.18986926219527,,,,,13.0,,,0.0305,,,5.8255,,,,11:25 AM,
Ben Ure Island,2017,"July 26, 2017",1.13104699273282,,,,,12.0,,,0.1525,,,,,,,01:20 PM,
Ben Ure Island,2017,"June 23, 2017",0.850747734821276,,,,,10.0,,,0.1525,,,3.965,,,,,
Ben Ure Island,2017,"May 25, 2017",0.475677703824368,,,,,9.0,,,-0.01525,,,3.79725,,,,10:25 AM,
Ben Ure Island,2017,"Sept 18, 2017",1.51634908387906,,,,,11.0,,,-0.2135,,,5.8865,,,,10:10 AM,
Camano Is. SP-Lowell,2017,"July 26, 2017",3.88043209386934,,,,,14.0,,,3.0988,,,8.5888,,,12:16 PM,,
Camano Is. SP-Lowell,2017,"Aug 23, 2017",13.8826243602848,,,,,0.0,,,2.135,,,3.477,,,11:15 AM,12:45 PM,
Ebey's Landing,2017,"Sept 16, 2017",21.5373060267078,,,,,11.0,,,1.0675,,,7.32,,,07:50 AM,08:59 AM,
Ebey's Landing,2017,"Aug 23, 2017",20.9484994133166,,,,,13.0,,,1.3725,,,7.625,,,10:20 AM,12:40 PM,
Ebey's Landing,2017,"July 25, 2017",20.1602714267882,,,,,12.0,,,1.75375,,,6.32875,,,01:30 PM,04:10 PM,
Ebey's Landing,2017,"June 26, 2017",14.0465603107595,,,,,11.0,,,-0.1525,,,5.3375,,,09:30 AM,12:05 PM,
Hoypus Point,2017,"July 25, 2017",3.60620646207308,,,,,10.0,,,0.0,,,3.355,,,,12:05 PM,
Hoypus Point,2017,"June 25, 2017",1.09793251119755,,,,,9.0,,,0.4575,,,4.4225,,,,11:28 AM,
Polnell Point,2017,"July 26, 2017",1.31578220661175,,,,,15.0,,,0.83875,,,2.66875,,,12:10 PM,03:25 PM,
Polnell Point,2017,"June 25, 2017",0.363808223480624,,,,,15.0,,,0.1525,,,0.7625,,,10:10 AM,01:25 PM,
Polnell Point,2017,"Aug 22, 2017",9.63181694203928,,,,,16.0,,,3.965,,,,,,12:35 PM,03:20 PM,
Polnell Point,2017,"Sept 18, 2017",27.4352984380766,,,,,,,,,,,,,,,,
Possession Point,2017,"Aug 24, 2017",21.4868990527275,,,,,13.0,,,2.8975,,,3.8125,,,11:40 AM,,
Ben Ure,2016,"Sept 4, 2016",1.03891585672983,,,,,14.0,,,-0.8235,,,6.344,,,12:10 PM,01:12 PM,
Ben Ure,2016,"Aug 17, 2016",1.30989714771912,,,,,13.0,,,0.061,,,5.856,,,09:50 AM,11:27 AM,
Ben Ure,2016,"July 1, 2016",0.784478881315546,,,,,12.0,,,-0.0305,,,3.9345,,,07:53 AM,08:54 AM,
Ben Ure,2016,"Aug 30, 2016",0.998760904161007,,,,,12.0,,,0.0915,,,5.978,,,10:13 AM,,
Ben Ure,2016,"July 30, 2016",0.820194330206611,,,,,12.0,,,,,,,,,01:22 PM,01:54 PM,
Ben Ure,2016,"Aug 20, 2016",1.07290815646587,,,,,,,,,,,,,,,,
Camano Island,2016,"Aug 19, 2016",14.9350094847764,,,,,16.0,,,2.44,,,,,,11:22 AM,,
Camano Island,2016,"July 23, 2016",12.8016581415828,,,,,17.0,,,2.745,,,4.575,,,11:15 AM,05:45 PM,1.0
Camano Island 2,2016,"Sept 16, 2016",0.378122239467289,,,,,,,,,,,,,,,,2.0
Hoypus Point,2016,"July 19, 2016",4.04201066734,,,,,14.0,,,0.61,,,4.7275,,,10:35 AM,11:40 AM,
Hoypus Point,2016,"July 22, 2016",1.13414268893,,,,,12.0,,,1.9215,,,3.1415,,,05:58 PM,06:21 PM,
Hoypus Point,2016,"Aug 19, 2016",3.71216504091,,,,,14.0,,,0.305,,,4.27,,,11:05 AM,11:45 AM,
Hoypus Point,2016,"Sept 14, 2016",3.39397810679,,,,,13.0,,,0.122,,,4.697,,,09:18 AM,10:05 AM,
Camano Island,2016,"Sept 16, 2016",18.0815277881352,,,,,14.0,,,,,,,,,10:00 AM,12:00 PM,
Ebey's Landing,2016,"June 25, 2016",18.2824330453301,,,,,14.0,,,1.525,,,6.1,,,03:30 PM,04:15 PM,
Ebey's Landing,2016,"July 22, 2016",20.396835455969,,,,,12.0,,,1.6775,,,6.2525,,,10:15 AM,01:30 PM,
Ebey's Landing,2016,"Aug 19, 2016",18.9857398593819,,,,,13.0,,,1.3725,,,7.32,,,11:40 AM,02:40 PM,
Polnell Point,2016,"July 4, 2016",4.75078022083784,,,,,17.0,,,2.745,,,3.66,,,11:30 AM,02:10 PM,
Polnell Point,2016,"Aug 1, 2016",17.6517233951941,,,,,18.0,,,2.44,,,6.1,,,11:20 AM,02:10 PM,
Polnell Point,2016,"Aug 30, 2016",36.7281957266155,,,,,17.0,,,3.965,,,6.1,,,10:30 AM,01:40 PM,
Libbey Beach,2015,"June 14, 2015",0.755370747199,,,,,,,,,,,,,,12:00 AM,12:00 AM,
Libbey Beach,2015,"July 18, 2015",0.580953128075,,,,,,,,-0.7625,,,0.0548999999999999,,,06:40 AM,07:16 AM,
Hastie Lake,2015,"June 15, 2015",13.2873103922,,,,,,,,,,,,,,12:00 AM,12:00 AM,
Hastie Lake,2015,"July 27, 2015",12.2602266409,,,,,13.8,,,-0.8418,,,0.14945,,,02:17 PM,04:28 PM,
Hastie Lake,2015,"Aug 23, 2015",14.5470994014,,,,,,,,,,,,,,12:00 AM,12:00 AM,
Ebey's Landing,2015,"June 14, 2015",9.49077941151902,,,,,11.0,,,0.82655,,,1.805295,,,09:23 AM,10:18 AM,
Ebey's Landing,2015,"July 19, 2015",14.6257562899415,,,,,13.0,,,0.549,,,1.6714,,,12:20 PM,01:28 PM,
Ebey's Landing,2015,"Aug 15, 2015",18.3718462794961,,,,,13.0,,,0.69235,,,1.6775,,,11:13 AM,12:31 PM,
Ebey's Landing,2015,"Sept 26, 2015",17.8857633901287,,,,,12.0,,,0.3965,,,1.7995,,,08:40 AM,09:46 AM,
Hastie Lake,2015,"Sept 20, 2015",10.01064901,,,,,,,,,,,,,,12:00 AM,12:00 AM,
